# F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Labels
-9.852418167327263721e-01,5.922162677216900040e-01,2.309274199299760078e-02,2.836628441803191958e+00,9.256926073904820917e-01,1.202875910872673426e+00,-2.006610155273402807e+00,8.054484754902894172e-01,3.289413077399162333e+00,3.018932483330082128e+00,1.000000000000000000e+00
-3.700703596830793529e+00,1.749441153618297884e+00,-1.436823688403788379e+00,3.495355450018962085e-01,-2.526710894720867184e+00,4.861931103561953904e-01,-7.445502554852421184e-01,-1.387394045782927243e+00,-1.480971236904112143e+00,-1.128729372135609754e+00,2.000000000000000000e+00
-2.350050263808262097e-01,-9.398790533134784297e-01,-4.020769608480890156e+00,3.969963047090456776e+00,-2.752743870807599524e+00,2.676669987884322532e-01,3.029378193684966192e-01,-8.076687901039669271e+00,-2.105082657091519760e+00,1.150053794317011047e+00,0.000000000000000000e+00
1.429280414908642660e+00,-4.990151883752459661e+00,-2.313204143757202402e+00,1.345162801962394239e+00,8.501425634775410245e-01,1.168422540395592790e-01,-9.118434770247667576e-01,1.502590903272414291e+00,2.266540327178916847e+00,-2.736047334560068212e+00,2.000000000000000000e+00
2.388747038593758365e+00,2.313347841490453582e+00,-2.242480829934292874e+00,7.147600201232379158e-01,2.093754831654055515e+00,-2.774063108827007351e+00,9.025826925783615451e-01,3.791626527625298504e+00,7.678602436677683940e-02,-8.747612184993709405e-01,2.000000000000000000e+00
7.697577212723252238e-01,-1.705188623797626812e+00,6.074622932729067948e-01,2.302089400650073614e+00,8.666834705467361122e-01,-1.272686247279872562e+00,-4.661087793223089859e-01,-2.833961495104952988e+00,-4.093013813109709353e-01,6.350930557746787830e-01,1.000000000000000000e+00
-5.743976548420794970e+00,-1.575301531011958467e+00,2.095838724889068416e+00,-3.678826974799596528e+00,-5.021017290545900735e+00,-2.195732186497185712e-01,-1.880148391585142686e+00,-2.510586962865516192e+00,4.834481968794759332e-01,-5.017257936676058350e-01,0.000000000000000000e+00
-3.598765497605418417e+00,-1.086877860100199378e-01,-9.780634684267910384e-01,-1.744775647722922818e+00,-7.072935057873730447e-01,1.386195508658029318e+00,-3.653288125133161479e+00,5.141289146718793779e-01,-1.304357958842018661e+00,4.571020869269353248e-01,2.000000000000000000e+00
-9.124723989168581628e-01,-2.334971917189454516e+00,-8.256595902043818436e-01,7.872437624296413361e-01,-9.252525798341415531e-02,6.197790046939393171e-01,1.092063354239336315e+00,5.774330154092451872e-01,2.261236534342025539e+00,-1.153768152693014359e+00,2.000000000000000000e+00
8.277935460292027425e-01,3.761010009405776344e-01,5.951700913508465085e+00,-2.157602513817543866e+00,-3.500157108804676120e+00,-2.579518855826111512e+00,-2.496451465086648724e+00,-5.517195195414042352e+00,-1.768587196773926395e+00,1.937439481147484877e+00,0.000000000000000000e+00
